,T-reg_H-1,T-reg_H-10,T-reg_H-11,T-reg_H-13,T-reg_H-16,T-reg_H-18,T-reg_H-23,T-reg_H-25,T-reg_H-26,T-reg_H-27,T-reg_H-33,T-reg_H-36,T-reg_H-37,T-reg_H-4,T-reg_H-40,T-reg_H-43,T-reg_H-45,T-reg_H-49,T-reg_H-55,T-reg_H-56,T-reg_H-57,T-reg_H-59,T-reg_H-61,T-reg_H-62,T-reg_H-63,T-reg_H-64,T-reg_H-65,T-reg_H-66,T-reg_H-68,T-reg_H-69,T-reg_H-7,T-reg_T1D-1,T-reg_T1D-102,T-reg_T1D-104,T-reg_T1D-106,T-reg_T1D-118,T-reg_T1D-12,T-reg_T1D-121,T-reg_T1D-124,T-reg_T1D-127,T-reg_T1D-129,T-reg_T1D-132,T-reg_T1D-135,T-reg_T1D-137,T-reg_T1D-139,T-reg_T1D-14,T-reg_T1D-140,T-reg_T1D-141,T-reg_T1D-15,T-reg_T1D-153,T-reg_T1D-156,T-reg_T1D-158,T-reg_T1D-170,T-reg_T1D-174,T-reg_T1D-2,T-reg_T1D-21,T-reg_T1D-25,T-reg_T1D-28,T-reg_T1D-29,T-reg_T1D-37,T-reg_T1D-39,T-reg_T1D-42,T-reg_T1D-44,T-reg_T1D-52,T-reg_T1D-61,T-reg_T1D-73,T-reg_T1D-79,T-reg_T1D-8,T-reg_T1D-82,T-reg_T1D-86,T-reg_T1D-87,T-reg_T1D-88,T-reg_T1D-93,T-reg_T1D-96,T-reg_T1D-97,T-reg_T1D-98
GZMM,1.57954716112657,2.22068540241632,1.57954716112657,2.5038031419381,2.76096378572017,2.54702820778177,2.89878890758217,2.7248817109602,2.73707816878844,2.08726081816438,2.70824516513825,2.87173358487721,2.30288674697347,3.21761759297361,2.74556735444778,2.90571631597527,1.57954716112657,1.57954716112657,2.36521844634193,2.44608855412247,2.56359779638843,1.57954716112657,1.57954716112657,1.57954716112657,2.5709623807843,1.57954716112657,2.84326698467156,2.36030151167255,2.53234503886273,1.57954716112657,1.57954716112657,3.84133469244456,3.51585069513597,3.26091825926214,3.42065777343557,3.07883849531747,3.37397587168128,2.66717377737429,2.72051154944413,4.12953528017033,3.27191858657789,3.84196045713351,2.92790250276294,3.41800576138642,2.92580666127466,2.82350575679111,2.95629513725393,3.29178340651389,1.57954716112657,3.33703576185695,3.42697022377526,3.59419082505092,2.89072704712472,3.41205260937258,1.57954716112657,3.16168468642255,2.94600884270194,2.85790285166859,3.10526022447352,1.57954716112657,2.41957515317454,1.57954716112657,2.5502024927556,2.43901083304773,3.41634934347768,1.57954716112657,2.66107134416939,1.57954716112657,2.92851622435139,3.43257056724329,3.21026143814328,2.14670649037518,3.51559611728649,3.33718565560864,3.5596871739834,3.09559510907232
RPL39,9.94365724170967,9.73881097467182,9.40343658065904,9.6263141218676,9.55415136031873,9.30154416320676,9.56453877200554,9.57641763598001,9.43446934590144,9.75158576457956,9.64186384538523,9.42607496446878,9.41333709799939,9.60800822310907,9.56515171473105,9.93609054302824,9.53004903070744,9.78295091047645,9.25080740353373,9.56740513561972,9.90774893806374,9.79469161546978,9.80468831917497,9.72800937332626,9.7689771804108,9.93078129593043,9.91756985859999,9.88694216619508,9.88268866684489,9.71957175903014,9.53661627537104,8.97817483092711,8.97597358016915,9.25759527478667,9.24550274047442,9.33501396110761,9.51306728397719,9.32564084521784,9.47862089290076,9.44298986577762,8.95447835469012,9.67002198450882,9.82909058951429,9.30550443649128,9.61897668653983,9.74398998173291,9.20807193541749,9.24130445124666,9.73202726618143,9.22241945989188,9.35252919851365,8.32440372027569,9.2241856231406,8.84619777282957,9.44063942453924,9.31087981254552,9.55823393871087,9.56937060628076,9.63423280751083,9.53283743799921,9.53079196146653,9.69476280948187,9.84178233190242,9.54639767490703,9.42049265570916,9.71018418665759,9.75024015101203,9.64299552771762,9.41562889187736,9.57701112713944,9.15761255649434,9.51593895055692,9.16288810401906,9.11891000593127,8.8538896981921,9.25066086309942
UCP2,1.57954716112657,2.4790906740168,2.98735000561441,2.5038031419381,3.00816153790672,2.54702820778177,3.17034257953065,3.38020047625289,2.53278804934474,2.5800524205451,3.45079438129432,2.28647654308479,2.80811200709081,2.98348653496481,3.41052102536306,1.57954716112657,2.81017148539656,2.45616474372077,4.91703437232733,3.14694525868056,1.57954716112657,2.68318848375355,2.71718896242439,2.31893644363408,2.15936042404382,1.57954716112657,2.84326698467156,2.90166345167269,2.53234503886273,1.57954716112657,1.57954716112657,4.24608703466211,4.43398514064211,4.86910523104517,4.59440736201798,4.32328935550625,3.00247139710399,3.38762624844589,4.27025346326377,4.98978167756966,4.04365964292761,3.84196045713351,3.20444426032722,4.66882612596842,3.28097999364545,1.57954716112657,3.23764807003452,3.89053201705637,2.6126857575403,5.01931111497762,4.2884393853135,6.34159071530639,4.22628469876593,5.27742132564058,2.65645830136028,2.7248817109602,3.22562485332483,2.85790285166859,2.75462699606271,2.70935393657317,2.41957515317454,3.00531447561236,2.5502024927556,3.02860858840921,3.29452695789063,3.16175133397075,1.57954716112657,2.59963225764853,2.92851622435139,1.57954716112657,4.25448259791223,2.81759648760698,5.13141170267942,4.9425322644312,4.66333748497269,4.48877960794262
PES1,3.39128207635084,2.67284253202654,2.98735000561441,3.13193799326416,3.20934200936926,2.75408592664554,1.57954716112657,2.25219944321332,2.73707816878844,2.08726081816438,3.13965403617273,2.28647654308479,2.30288674697347,2.48785341360734,2.53989462339071,3.178461883731,2.46250744653667,3.43868210493205,2.36521844634193,2.19681767295646,3.09514472867224,3.65688116070877,2.71718896242439,3.01465767981372,2.8439365949229,3.09036532646251,1.57954716112657,3.00001844581548,2.90456550027849,2.63309072257353,2.992662858447,1.57954716112657,1.57954716112657,2.80015915463393,2.37318480294524,2.57681548752112,1.57954716112657,1.57954716112657,2.39655963462668,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.31442879130269,2.37519823967096,2.31230137115612,1.57954716112657,2.82368895943175,3.01242269292752,1.57954716112657,2.54931553746191,1.57954716112657,1.57954716112657,2.36909061262596,1.57954716112657,1.57954716112657,2.56314522578104,3.33653272035791,2.17913867887087,3.45249344622839,3.19733231022532,1.57954716112657,2.92860782022993,2.43901083304773,2.31369529962857,3.16175133397075,1.57954716112657,1.57954716112657,1.57954716112657,2.45299328541308,1.57954716112657,2.37662986301354,1.57954716112657,1.57954716112657,1.57954716112657,2.9732376728959
GAS5,6.69429154555414,6.49960087273712,6.64095811815947,6.46555678128834,6.37860173916491,6.29305655710327,6.38437365185088,6.66043021341497,6.60305595262964,6.72958051018955,6.85301854149222,6.20831035772022,6.31317014748731,6.25286284442372,6.48687451478628,6.4450340981047,6.494815831975,6.56430399055339,6.05991625468308,6.69578231380313,7.12516884177031,6.65023388066072,7.15875678633437,7.03429045531573,7.68684392785344,7.26903049963153,6.74008649780843,7.48043432823171,7.64799114058545,7.12951709696299,6.6143698598313,6.36094647991034,6.05486234788084,6.30517335346569,6.16400233497606,6.37095187062913,6.08348813913424,6.18245833323132,6.35748439513267,6.08813416077011,5.72233451749269,6.28067547639608,6.58024000243725,6.35648469843191,6.57572180987951,6.73772292239328,5.83739835312927,6.24021600996203,6.55222204315296,6.21627575939068,6.44617550390748,4.26230527697137,5.80843795394647,6.01285409837187,6.76550940534828,6.03082809988332,6.5088903106556,6.09704689219127,6.10209772465874,6.78186633760745,6.4629142815581,6.40912799485891,6.377302656734,6.40136763614357,6.28215447986537,6.87104808785407,6.11271251852907,6.62292068677993,6.62330662459772,6.01272190035578,6.31633491225643,6.58775905773626,6.06605226637905,6.99524330444394,6.20482920186367,6.28861256452394
STAG2,3.91102359399742,3.84357289506742,4.01818256174252,4.62370178217514,4.26950835835485,3.69622520556611,3.17034257953065,3.93714984808183,3.39808925868024,4.12372547506351,3.90738531209322,3.56193630623759,3.6025137628792,3.79759196611939,4.09886851640234,3.58548284993998,3.27406083457956,4.0725403563766,3.26130125549064,4.14521845069098,4.02396275459445,3.86228811999255,3.71413567789974,4.05961305852125,4.1044110448854,4.31337572115528,4.14492541370764,4.13565759028229,4.24980412320376,4.09738502604377,4.16148901544326,3.84133469244456,3.51585069513597,3.75994198550556,3.5492939872676,3.21532500054844,3.65784970388678,3.0851129856648,2.72051154944413,1.57954716112657,3.66008275735679,1.57954716112657,1.57954716112657,2.82698139665594,2.92580666127466,3.29154337347553,3.65599545209538,3.29178340651389,3.01242269292752,2.63448893426615,3.42697022377526,4.26230527697137,3.72602035693828,3.10618307055599,3.07084769263192,2.7248817109602,2.94600884270194,2.85790285166859,3.71744860010314,3.90937342822956,3.77204714189439,3.52755585734853,4.6605271579222,3.557476433925,3.89395643435007,2.72493208133169,3.37820230837022,4.28821139171887,4.05988700876522,3.84718245867674,3.05222161632773,4.35856321267319,3.67424083312154,2.91160867237935,3.40764233287562,2.9732376728959
AL590762.6,2.43163990195842,1.57954716112657,2.17315978239507,1.57954716112657,2.42626828873288,2.54702820778177,1.57954716112657,1.57954716112657,2.25960484615036,2.08726081816438,1.57954716112657,2.28647654308479,2.80811200709081,2.22702932224063,1.57954716112657,1.57954716112657,1.57954716112657,2.80156996844973,2.67772940941988,2.44608855412247,2.28198457563194,2.68318848375355,1.57954716112657,3.36849095204348,2.15936042404382,2.47765413932836,2.62185787024901,2.79305605649421,3.17711328073874,2.63309072257353,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.93827188094404,1.57954716112657,1.57954716112657,2.39655963462668,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.31442879130269,1.57954716112657,1.57954716112657,2.95629513725393,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.14127688865806,2.65645830136028,1.57954716112657,1.57954716112657,1.57954716112657,2.17913867887087,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.14670649037518,2.49631852118906,1.57954716112657,2.77974418459261,1.57954716112657
TCAP,2.43163990195842,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.26994414081064,2.89878890758217,1.57954716112657,2.25960484615036,2.45020525317582,2.70824516513825,2.28647654308479,1.57954716112657,1.57954716112657,1.57954716112657,2.53319915157232,3.06620433487219,2.45616474372077,1.57954716112657,2.63328534785979,2.94661693449757,2.68318848375355,2.71718896242439,2.92834455541339,2.5709623807843,2.47765413932836,2.62185787024901,3.00001844581548,1.57954716112657,2.85662581838019,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.05541789158311,2.7306975078411,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.14127688865806,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.17913867887087,1.57954716112657,1.57954716112657,1.57954716112657,2.92860782022993,1.57954716112657,1.57954716112657,2.72493208133169,2.66107134416939,1.57954716112657,1.57954716112657,2.45299328541308,1.57954716112657,2.81759648760698,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657
C7orf50,1.57954716112657,1.57954716112657,2.17315978239507,1.57954716112657,1.57954716112657,2.54702820778177,2.89878890758217,1.57954716112657,2.25960484615036,2.69286581512866,1.57954716112657,2.28647654308479,1.57954716112657,2.22702932224063,2.26476371954352,1.57954716112657,2.81017148539656,1.57954716112657,2.36521844634193,1.57954716112657,1.57954716112657,1.57954716112657,1.57954716112657,2.1052026177155,1.57954716112657,1.57954716112657,2.62185787024901,1.57954716112657,2.90456550027849,1.57954716112657,2.41662643881997,3.2524532899658,3.08620846043548,3.162283972589,2.92254663548632,2.57681548752112,2.42272672457161,3.0851129856648,2.39655963462668,2.7306975078411,2.37059956399827,1.57954716112657,2.54967820564063,2.60817253412081,2.37519823967096,2.31230137115612,1.57954716112657,3.29178340651389,1.57954716112657,1.57954716112657,2.54931553746191,1.57954716112657,2.89072704712472,3.01517886670691,2.65645830136028,1.57954716112657,2.56314522578104,3.67716554299662,2.88495408819896,2.70935393657317,2.99740520517788,1.57954716112657,2.5502024927556,2.43901083304773,2.60716600351013,1.57954716112657,1.57954716112657,2.59963225764853,3.61733157833311,3.05099807639234,2.64248370970212,2.14670649037518,2.85594386437209,2.91160867237935,3.5596871739834,3.09559510907232
GMFG,4.43723190618445,4.8311314967589,4.76567045987487,5.57512268736825,4.68700682154966,4.7695551101266,4.60634072836106,4.74495047497689,5.00369821139453,4.64780655779423,4.57816211814699,5.12953358847569,5.05868417681817,4.72540176794072,5.02214568411661,4.61897885246224,5.11234107345726,4.26044693286482,6.01999440235257,4.67965374806525,4.5647433799892,4.58284912460951,4.53627458270881,4.31997229809197,4.7643188766195,4.39944035177274,4.14492541370764,5.26612246573526,4.90737123557258,4.47477916784731,5.24099368900082,5.66385652939086,5.62911438390117,5.77890299137376,5.18344721987795,5.63859945495622,4.73596155713782,4.89314093952222,5.70246834823157,5.31669168713565,5.01881262756296,6.71053522773664,4.81302555547896,5.34424045873041,5.33097504224579,4.91170327797493,5.24884629606459,5.3230509653339,5.29779781397702,5.96888105381874,5.30014126865522,6.34159071530639,5.46283004465965,6.01285409837187,4.63242023061223,5.06595278764965,5.53023431977315,4.68164252092896,4.44645426445719,5.47077482573381,4.88984297353118,5.34222212387792,4.39261208849562,5.1383303577061,5.19274985948696,4.42223703499487,4.41941131046479,4.55514338225931,5.01737558883826,5.26669155499234,5.51299755128636,4.76401874135884,5.93945851139337,6.0241624525369,5.84044660699349,5.84912586606013
