,C-Monocyte_H-1,C-Monocyte_H-10,C-Monocyte_H-11,C-Monocyte_H-13,C-Monocyte_H-16,C-Monocyte_H-18,C-Monocyte_H-23,C-Monocyte_H-25,C-Monocyte_H-26,C-Monocyte_H-27,C-Monocyte_H-33,C-Monocyte_H-36,C-Monocyte_H-37,C-Monocyte_H-4,C-Monocyte_H-40,C-Monocyte_H-43,C-Monocyte_H-45,C-Monocyte_H-49,C-Monocyte_H-55,C-Monocyte_H-56,C-Monocyte_H-57,C-Monocyte_H-59,C-Monocyte_H-62,C-Monocyte_H-63,C-Monocyte_H-65,C-Monocyte_H-66,C-Monocyte_H-68,C-Monocyte_H-7,C-Monocyte_T1D-1,C-Monocyte_T1D-102,C-Monocyte_T1D-104,C-Monocyte_T1D-106,C-Monocyte_T1D-118,C-Monocyte_T1D-12,C-Monocyte_T1D-121,C-Monocyte_T1D-124,C-Monocyte_T1D-127,C-Monocyte_T1D-129,C-Monocyte_T1D-132,C-Monocyte_T1D-135,C-Monocyte_T1D-137,C-Monocyte_T1D-139,C-Monocyte_T1D-14,C-Monocyte_T1D-140,C-Monocyte_T1D-141,C-Monocyte_T1D-142,C-Monocyte_T1D-15,C-Monocyte_T1D-153,C-Monocyte_T1D-156,C-Monocyte_T1D-158,C-Monocyte_T1D-170,C-Monocyte_T1D-174,C-Monocyte_T1D-2,C-Monocyte_T1D-21,C-Monocyte_T1D-25,C-Monocyte_T1D-28,C-Monocyte_T1D-29,C-Monocyte_T1D-37,C-Monocyte_T1D-39,C-Monocyte_T1D-42,C-Monocyte_T1D-44,C-Monocyte_T1D-52,C-Monocyte_T1D-61,C-Monocyte_T1D-73,C-Monocyte_T1D-79,C-Monocyte_T1D-8,C-Monocyte_T1D-82,C-Monocyte_T1D-86,C-Monocyte_T1D-87,C-Monocyte_T1D-88,C-Monocyte_T1D-93,C-Monocyte_T1D-96,C-Monocyte_T1D-97,C-Monocyte_T1D-98
FYB,2.78819700304398,3.32138213164042,3.3620668952817,3.77524607268068,3.37382302339707,4.20120307921631,4.0151231067023,3.96257879772661,4.73150879038795,3.93412763354864,3.01588520391305,3.84087101273573,3.7508408110627,3.63915408265547,3.60695420654955,3.03792856399001,5.03429159674133,4.16404587792666,6.70050829110849,4.23501377092127,1.58920371181388,2.97114583699115,1.58920371181388,1.58920371181388,1.58920371181388,3.97252418002236,1.58920371181388,4.44599491563963,6.37483765645435,6.16291854703892,5.95340023160149,6.08209894032677,5.98313158791583,5.72254689295703,5.52607913622409,5.61752117394472,6.00535111682317,5.18790797932537,6.65746009555489,5.58458102434703,5.8451991164033,4.7840348025329,3.48072566343756,5.0442467637277,6.01861048036043,5.80202263763045,3.50797535225832,6.20951512592163,6.1689834340944,6.08426884406228,5.88310113362187,6.43259069636455,4.49360385501122,5.42681394489879,5.2535110984336,4.92430026855236,4.88310120360661,4.15420153037651,3.95269348905598,5.07972452237866,1.58920371181388,1.58920371181388,4.20222608472141,1.58920371181388,2.61620919443272,3.55260573121258,4.35912984994798,3.91824222744615,6.34515818931805,5.15049575995093,6.06380674273119,6.21129329493749,5.96051240945841,5.85243275885771
PAK1,2.29449303433954,1.58920371181388,2.18160829449339,2.81335036803264,3.15689418500031,2.60675455491371,2.90420532050642,2.74338623905413,3.28231838567389,1.58920371181388,1.58920371181388,3.31502084521708,2.82760436101774,1.58920371181388,2.65774757164567,2.85611670070026,1.58920371181388,2.52355104128104,4.21543941725775,2.84248201988614,1.58920371181388,3.16685144070351,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,3.12366788561332,4.29670227884909,3.74351359187629,3.7579735278017,4.03405322152594,3.96456533898828,2.68071617500657,3.5485092989611,4.09550701117426,4.78527659594859,3.87701774069457,1.58920371181388,3.62158731776601,3.86480903469223,1.58920371181388,3.09263289854801,3.37333809970284,4.29534845957574,3.33865128170725,2.89495755638496,4.3228229107262,4.30963848414633,4.22678377315455,3.82807879077124,4.07457488938444,3.14350917536571,3.50772461836293,3.48587726180919,2.87429722918326,3.92811634369845,2.73047895646709,2.94786588318657,1.58920371181388,3.42768311491307,1.58920371181388,2.99903486143072,2.94498782352197,2.43346970183186,2.77835209575152,2.33862894312826,2.32883759789993,4.17321498803555,2.9705300403515,3.94114714423127,3.88856683606461,3.73958078404246,4.05179817567383
CYBB,3.11055386819694,4.33789647424237,3.92574591963189,4.37964949408043,3.37382302339707,4.13685738344057,4.0151231067023,4.24352772352841,4.39651787307254,5.14334895854821,3.90534424011349,4.21508512111691,4.48353614018424,3.72441565706631,4.62363384953011,4.08983818246026,3.14676582669685,3.86219271292193,6.28322876017386,3.49262307705789,1.58920371181388,3.33398492873442,1.58920371181388,1.58920371181388,6.61848316803807,1.58920371181388,6.78273272468502,3.8171203298583,5.85168177511833,5.97522610529682,5.83254461624025,6.21699450822811,5.8050848571643,5.2588861314332,5.20618550659704,5.55387975419695,5.40187685548786,5.51021172813619,6.26987311248868,4.74192478214022,5.55367551582013,4.7840348025329,3.48072566343756,5.11894304781381,6.53962222191138,5.80202263763045,4.07999394805573,6.10195665680064,6.1689834340944,6.2422682005219,5.86679225479574,6.47396226729301,4.68094786766945,5.25937432844131,5.10961669711055,4.88292300020456,5.07671436553948,4.57796213694449,4.12636389475076,4.78238136130909,4.05676866380491,6.23494533958607,4.3860855748701,4.08041017689848,3.90241918421766,3.2291885643314,4.2981494282891,4.06994841206574,6.75250313982594,4.3542304240106,6.36057824332314,6.13657994233124,6.06967889535716,6.00215725807403
SNHG9,6.09243459885651,6.66063933809069,6.59975782741043,6.32302475116123,6.63325907148659,6.15005476788617,6.28909978797498,6.61045246773792,6.1393616434932,6.31936122532863,5.65822590920997,5.5603492468822,6.06373516586733,5.78960071852895,6.72958740924188,7.08093631659105,7.10047435775221,7.0160917396734,4.47615786008355,6.21290642758505,7.21833934795343,6.57402860710471,7.61259111376992,6.94700944366221,8.14455140772398,7.41006635888338,7.74358236317023,7.22119378328451,4.86296913245741,5.23460166478859,5.00131517243315,4.68994719429274,5.62583027802038,6.14785658381212,5.99107741867317,5.99798827080991,5.63244221320933,5.6351199139068,6.26987311248868,5.35502996624894,5.3263751478483,5.46174741048911,6.92488354797532,5.40377481491487,4.96554653641825,6.24434380185565,5.68822203997994,4.66764724036973,5.04265325974825,5.03307713073597,4.68575406834918,4.5451641074788,6.47469717272374,5.76784316601494,6.42510255375454,5.7626278291568,6.16364380420817,6.14849043347689,6.50195339379852,6.27855674885882,6.48671654266606,1.58920371181388,6.08426987765554,6.60586956252583,5.59203498470283,6.98926032623527,5.61500383153437,6.019796316219,4.52143411640571,5.81869377114383,5.27032899738064,4.79338744302828,4.90011637003918,4.67624665632717
CD302,4.04184947705614,4.33789647424237,4.07017961774456,3.89675353110975,4.1630441311602,4.74078958869277,2.90420532050642,4.94976938454167,5.08705112949423,3.32866529034737,4.63188583833546,4.82933305883444,4.74899446341938,4.60183580477753,5.02299780218662,4.29059887632869,1.58920371181388,2.72415151813157,5.12933905902748,4.32688783396557,1.58920371181388,3.94074800389149,1.58920371181388,4.53879367920629,1.58920371181388,1.58920371181388,1.58920371181388,3.67621274331827,5.31036345316879,5.32241072533037,5.18768062566839,5.41228478404098,4.98996949046832,4.95466751430717,4.79283714029536,5.48727547026859,5.83097988748407,5.12632066144781,4.88094387376875,4.74192478214022,5.64752346178433,4.7840348025329,3.77571024490764,4.80833850621587,4.94489243097691,5.5163388953195,3.82487100714145,5.3638197125672,5.28838991394356,5.32226069921069,5.34493763568278,5.40665715955044,4.38955689641159,4.87980402522877,5.2535110984336,5.15000310266736,4.48624283520401,3.58573669178665,4.45132244550222,3.88365794098294,3.42768311491307,6.23494533958607,4.43225224245668,4.08041017689848,3.60459294560131,4.37286493720775,3.5728280041795,3.99623563672667,5.17459039399152,4.88339882381192,5.15939288741055,5.32057096597964,5.4429946310489,5.45815761945112
ARHGDIB,5.13343237525336,5.40721136727006,4.99881217969902,5.2021786983283,5.26374723659248,5.87058318049364,5.43618057618044,6.08795141478354,6.33207248253664,6.02328344436111,4.19243929526025,5.86799179105494,5.62349443985406,5.5448217563621,5.93420880116717,5.33698690117916,3.70554821128777,4.45545303359729,6.82030054459838,5.86872653019626,1.58920371181388,4.9326940659027,6.65532793731775,4.53879367920629,1.58920371181388,3.97252418002236,1.58920371181388,5.25429002169281,6.6921564220161,6.67553834061204,7.10400939387793,6.84033580430906,6.95850087826948,6.28804396931342,6.36190897522646,6.78657429992743,6.9385921050686,6.2502447297419,7.61478589382885,5.78235248178985,7.01258511826173,5.63107299656043,5.37645754066716,6.29249512135757,6.95757335121928,6.33650901155318,4.59130317725393,7.49830826173147,6.95798981027797,6.94142069811384,6.55680769927473,7.28233620890677,5.88031019395013,6.45380320241934,6.33680631014184,5.99238410914156,6.32372924483134,5.08371496044029,5.69459386405947,4.93884923691662,5.4888253273726,6.23494533958607,5.76203725361142,4.97534017578772,4.38941809412241,5.1716294182836,5.73270597112707,5.53097618865077,7.1623942526148,6.21594762153235,6.81644498642876,7.12464816353854,6.87816519259834,6.73849863585621
R3HDM1,1.58920371181388,1.58920371181388,2.60160147814948,2.21488950931407,3.03100450468236,2.72131635502113,1.58920371181388,2.62678065541192,2.60281777042416,1.58920371181388,1.58920371181388,2.45550971327972,2.89047917724972,2.56628156751928,2.65774757164567,1.58920371181388,1.58920371181388,2.25555528957182,2.67883874150068,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,3.09744162992642,3.29132046992782,2.82281431950951,3.07999995270083,2.94279291593819,2.68071617500657,2.59392057640168,1.58920371181388,1.58920371181388,2.83260685150543,1.58920371181388,1.58920371181388,2.76101514124791,3.41029146633276,2.8340713782216,3.01569241593622,2.89542699400078,3.33865128170725,2.66688039757035,2.75230814085856,2.95555842875655,3.07509144627251,2.99449154557955,2.93310579652316,2.59968737111708,2.47558245906469,3.03771019001374,2.87429722918326,3.42992340774495,1.58920371181388,2.94786588318657,3.00098979878622,1.58920371181388,1.58920371181388,2.60512680827621,2.94498782352197,2.19038581138896,2.44161154216977,2.33862894312826,2.32883759789993,3.05293345957925,2.9705300403515,2.9403593758538,3.06758007180956,3.02317336530248,3.04190321544906
DGCR2,2.57717688463713,1.58920371181388,2.60160147814948,2.21488950931407,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,2.31315034810119,1.58920371181388,1.58920371181388,2.30000347410588,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,2.25555528957182,2.53824065451634,2.23044207537093,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,1.58920371181388,2.90915355431724,2.26433369905035,2.62135289935226,2.56495647876687,3.02936846911141,1.58920371181388,2.09911729114675,1.58920371181388,3.65465990511285,2.2529648430681,4.88094387376875,1.58920371181388,2.42886400595667,3.41029146633276,1.58920371181388,2.74307162083323,3.56719234809179,1.58920371181388,2.35988103019257,2.66997910833682,2.69323618382062,2.99931559683817,2.73098409872041,2.53112773242709,2.31087114835762,2.57648768213175,2.58730171616527,1.58920371181388,1.58920371181388,2.61506741605455,2.56699867496146,3.51921921123556,3.42768311491307,1.58920371181388,2.36379790895399,1.58920371181388,2.43346970183186,2.77835209575152,2.86036970400387,2.32883759789993,2.89771599762076,1.58920371181388,2.61807188661998,2.88252825463246,2.74251482647077,2.5854837456409
PLIN2,6.76325269917088,6.16648144141473,5.61619614519155,6.84028928509988,7.05072764616793,4.67535429459852,6.78615816157698,6.40430231585551,5.25834195086697,5.64988707778076,6.12289572333685,4.62379285919894,4.89738914677992,5.1935287953083,4.90201145511158,5.33698690117916,7.25440081808236,5.77757213671722,4.44613114226134,6.9515854120613,8.50536119549689,5.96492237230395,6.65532793731775,7.30953989131675,6.61848316803807,7.85572154320086,11.2710859457051,7.45431975101137,4.34106982480851,4.39371974745696,3.42283959841445,4.10331741232747,6.09063879893375,3.40327851585184,5.65175647248982,4.79967583097521,3.65465990511285,5.65388287196298,1.58920371181388,5.78235248178985,5.53741803404249,6.54486509884721,4.99749064511558,5.58099711890654,3.95925292065514,4.68031181793342,6.33340652007161,4.25598717647346,3.38335734131624,3.39319909901371,3.67918852454912,3.55372823085941,4.21714617814319,4.44061769883018,4.02232692484099,4.19135671984628,4.28937668335127,6.35162986740986,5.12738839129939,5.20787553766801,6.65620717570379,6.23494533958607,4.98721819505921,5.10183824890198,5.49320334089693,5.37441120964058,4.81324275978915,5.37030822061228,4.66748072879803,8.84009723393297,3.38875856347807,4.06590736333144,3.91593432619798,5.02726560110932
CTSC,3.24215223028255,2.84857801590634,3.09790180475727,2.81335036803264,3.03100450468236,3.51950965751198,4.4373677138771,3.44237879741223,4.16111079963279,3.32866529034737,1.58920371181388,3.37305444397863,3.45305189926538,3.72441565706631,3.06935487273925,2.85611670070026,4.09346803721991,3.27105066641102,4.21543941725775,3.49262307705789,1.58920371181388,2.97114583699115,1.58920371181388,3.4688420596314,1.58920371181388,1.58920371181388,1.58920371181388,3.12366788561332,4.22734722615367,4.74508557744792,4.89090601959606,4.49255998888462,5.08024719322944,3.6460024999755,4.62295446497118,3.8979145983143,4.78527659594859,4.29281637729012,1.58920371181388,4.29342537572034,4.63131671283629,4.03531722409223,3.30239094968585,3.90506392372922,4.29534845957574,4.36167799061676,3.08152388454432,5.24474873926076,4.74522059593807,5.00515760663,4.58170740891751,5.05984695716405,3.50730857782547,4.80533313190035,3.48587726180919,4.04589632786613,3.6182386704753,2.83335021446849,3.51713681964302,4.16905492676841,4.05676866380491,1.58920371181388,3.28592696312532,2.94498782352197,3.38574413754551,3.2291885643314,3.33679853670966,3.65217784344123,4.89728233339019,4.3542304240106,4.34286708411893,4.64610307261428,4.94439902625484,4.62797143650711
