,NK_H-1,NK_H-10,NK_H-11,NK_H-13,NK_H-16,NK_H-18,NK_H-23,NK_H-25,NK_H-26,NK_H-27,NK_H-33,NK_H-36,NK_H-37,NK_H-4,NK_H-40,NK_H-43,NK_H-45,NK_H-49,NK_H-55,NK_H-56,NK_H-57,NK_H-59,NK_H-61,NK_H-62,NK_H-63,NK_H-64,NK_H-65,NK_H-66,NK_H-68,NK_H-69,NK_H-7,NK_T1D-1,NK_T1D-102,NK_T1D-104,NK_T1D-106,NK_T1D-118,NK_T1D-12,NK_T1D-121,NK_T1D-124,NK_T1D-127,NK_T1D-129,NK_T1D-132,NK_T1D-135,NK_T1D-137,NK_T1D-139,NK_T1D-14,NK_T1D-140,NK_T1D-141,NK_T1D-142,NK_T1D-15,NK_T1D-153,NK_T1D-156,NK_T1D-158,NK_T1D-170,NK_T1D-174,NK_T1D-2,NK_T1D-21,NK_T1D-25,NK_T1D-28,NK_T1D-29,NK_T1D-37,NK_T1D-39,NK_T1D-42,NK_T1D-44,NK_T1D-52,NK_T1D-61,NK_T1D-73,NK_T1D-79,NK_T1D-8,NK_T1D-82,NK_T1D-86,NK_T1D-87,NK_T1D-88,NK_T1D-93,NK_T1D-96,NK_T1D-97,NK_T1D-98
TMSB10,7.88522418815579,8.23781495182407,8.13601161056596,7.92181993306973,8.08268076981151,8.51524118276528,8.27031854054283,8.33038384062766,9.01150212927006,8.07403175764725,8.11295825905985,8.3678538009407,8.38426804971678,8.58727831462966,8.61296475434276,8.21792150908249,7.79703091067585,7.55179528598284,9.50587347707529,7.65595387355885,7.43710764110069,7.56392585233043,7.12521976932775,7.13740259402142,7.67401629903928,7.75750348282824,7.08305348319618,7.31031474647733,7.66271501782856,7.42703955112977,7.65173094673837,9.34513301219306,8.69535730722291,9.3637748407567,9.15481236244301,9.41807819722807,9.03579570472596,8.82741598936976,9.16319317125526,9.31454032582587,8.63018413603963,9.65441218269471,8.69294869667629,9.00668194552143,8.86217055207151,7.97133018159785,8.54443787741832,9.71188633719607,9.42726677715765,7.68878828207915,9.19642256601795,9.43045983549221,9.58132844358459,9.22167220151312,9.23752298500872,8.74578700035774,9.11677653702605,8.91211872267919,9.10322461917266,8.79572221991281,7.85049828443099,7.95943715069418,7.93709670937236,7.67849872449836,8.64690037709864,8.32303722595316,7.91026072268857,7.20728004284163,8.0932685470668,8.32082098783924,8.3598045828763,9.15344551298062,8.32898192098005,9.25474314845025,9.30223697714465,8.95105279351427,9.22404968089645
GPR56,2.94010339975175,1.35178087483051,3.50852770006625,3.39102186873995,3.04959337596369,3.63025842686723,2.60817156076303,3.07855411221227,3.28885453540469,1.35178087483051,1.35178087483051,2.44407255376754,3.50667847334579,3.27380648121319,2.91531931626899,2.30375534573623,2.90246347196814,2.74507951373729,4.73905274576318,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,3.42116607571642,1.35178087483051,1.35178087483051,2.25940162033257,2.41947219396528,4.51497347909157,3.92009327357047,3.98547953044965,4.08630391672374,2.97199121359665,3.18092199207334,4.18454934801387,2.9542084957056,4.06489013913649,3.19048923789902,4.00835700797493,3.81185766636743,4.46676380981181,2.98999720312186,3.23755551598817,2.78085850104023,4.84052256001552,3.4537858593447,2.90297381969685,4.60517303224212,4.37396820047212,4.6942064614408,4.28121323189586,4.01908730720819,3.44053614410108,4.03247406487121,4.13891761345411,3.9046703986508,3.2831338447453,3.12192139917655,2.52807618353121,3.36136820799903,4.05664583083416,2.64018558083173,2.93972306450192,1.35178087483051,2.98512440410167,2.90786581521238,3.43968740021172,3.63468190725263,4.35856906754095,1.35178087483051,4.53023161599744,3.86247261033346,3.86720053464625,4.32587337925187
ZNF76,1.35178087483051,1.35178087483051,1.35178087483051,1.83253408201645,2.29565871681545,2.4326316712888,2.09214771086565,1.35178087483051,2.31697863942993,1.35178087483051,1.35178087483051,2.1331430595941,2.1156066467774,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,2.53661121208998,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,2.25940162033257,1.35178087483051,2.5046671224467,2.53642059170265,2.39485869054629,2.09940385107464,2.10641102200885,2.6855565474952,1.35178087483051,2.84520785781118,2.64326899006912,2.21780936622342,1.35178087483051,2.65069617201422,2.66282065276386,2.53958694847566,2.48996606453048,2.78085850104023,3.24166197457475,3.4537858593447,1.35178087483051,2.85562554922243,2.09540250739266,3.00046918287614,2.97761258906287,3.10450337543233,2.10197620611517,1.35178087483051,2.31126969581678,2.55301990869565,2.7646055181425,2.51140457791134,2.19473677434739,1.35178087483051,1.35178087483051,3.12188033320955,1.81280348545233,1.35178087483051,2.20048159874263,1.35178087483051,2.46168022876696,2.3632526653392,2.66893325200296,1.35178087483051,2.70495269900787,2.13984182920394,2.50763543222683,2.6721502695188
PPP1CA,3.78112683311802,3.82989505610734,3.50852770006625,4.01282632370779,3.42264218202901,4.1902257217252,4.81931888134949,3.83260889940608,4.57294572404985,3.58178037044544,2.89228064081323,4.08707519277039,4.16369417241375,4.44884977846423,4.4136861317816,4.30403089634533,2.90246347196814,1.35178087483051,5.86014471905805,1.35178087483051,1.35178087483051,3.50475461943129,3.90888420868935,4.37567918821149,3.95869854054176,1.35178087483051,4.10065217858014,3.80218536062741,3.07884956749521,4.10885276379606,4.16240717025009,5.6085677077363,5.18254136609432,5.48567879304308,5.43132961484952,5.60131443832914,5.09509354717415,4.73417222367324,5.06805708560612,5.50444671031011,4.86022429790809,4.951193655033,4.3807552169907,4.99921024348945,4.20769065265469,3.87749110915,4.67185131426681,6.3079021478,5.6468420547419,3.21271774909246,5.96898592631746,5.49721288728366,5.47747060577399,5.50409861641889,5.76231616239834,4.48927672741572,5.04316759137988,5.40692085530377,5.23756167903931,4.4789805352344,4.22289212809933,3.94856165760578,3.6226530170617,3.76237407187222,4.32194602314353,4.26473401031703,3.63574706610911,3.87375829480798,4.79437504533928,4.60912640357214,4.82767530318604,5.8548109012075,3.119416541125,5.71666005163929,5.56631684931059,4.83966676997211,5.38762531939512
CTSW,6.53583712526914,5.84921048376615,6.08294597601018,6.21968142335324,6.89257867299678,6.78663611104274,5.72994916819878,6.59875378427187,6.94276953425045,6.86101743366983,5.43701109181349,7.07362936883879,7.32911653165444,7.2626078246617,7.03771752576802,6.51488954864054,5.45550542545143,6.80422983178775,7.69337865264764,5.38589631417533,4.85360548746281,5.72038037484953,4.67521348645511,3.05537917930931,4.73255330035989,4.82550755544131,5.59930782377196,5.03752452776838,1.35178087483051,3.91768097418846,6.46619594944799,7.33489265534194,7.13109544181346,7.79359812468846,7.55726120804939,7.86394908189572,7.11386783257892,7.22563884132758,7.51457382358295,8.026767383971,7.15208071716749,7.11395669245442,6.65434797248804,7.11853881860247,6.32292735815448,6.44279573365845,7.35467735983201,7.34728848735929,7.76703187003015,6.19342069028562,7.85899271569609,7.59197349242191,7.3957174961156,7.54453468490519,7.88895780480347,7.03000022037007,7.33417965505934,7.6652941128839,7.58854067170443,7.39020641666007,5.58574337675989,6.79210601160008,6.34830660459838,6.14188792894578,7.41216592572162,7.26032388795874,6.2415274557922,5.89570401383334,6.95828597345505,7.17141640315467,6.8916556215335,7.44832463868849,7.03101252358805,7.51903700977854,7.6752832297129,6.82061190034466,7.30904558308776
GZMA,4.8485351256508,4.06017945322384,3.90125239997024,4.33835647365172,4.55491818356541,5.53563988694151,5.29611708592898,5.1885770100439,6.10923901350947,4.29265510116009,4.58598234264848,5.33023146037848,5.44369003875913,5.86481389634512,5.079471089329,4.80298271140513,4.14661686107579,3.90249610857388,7.9696988497082,4.08829629325033,1.35178087483051,3.50475461943129,1.35178087483051,1.35178087483051,2.98204145053969,4.56147583567591,4.89472719410873,4.81526964520308,4.66831406335741,3.69520554156401,4.27778100914933,7.35017174888208,6.52242766025449,7.30422583665358,7.40446970290386,7.4010050143497,6.46184074707611,6.60255165855848,6.31693860781843,7.5679783338743,6.67153398303418,7.83325051775521,5.91429362597646,6.49246853576365,5.63836674784629,3.69660994853736,6.54802660920478,8.17096970352816,6.757509689774,4.69781534456654,7.79567582861817,7.43896801579581,7.07658371583982,7.31038254264808,7.52927850275116,5.7464299192349,6.94162829781679,6.86178511506905,6.2072704667448,6.53095436064176,3.95966515827396,4.56400053110217,3.49855552502322,3.76237407187222,5.99352600597103,4.88716884715826,3.63574706610911,4.04681582107006,5.1014483360077,5.08746819396307,5.18140971678725,7.86707245352475,5.71891650079081,7.1499077985958,7.52539267598615,6.73540287748934,7.595914355636
EVL,3.8996378901287,3.82989505610734,3.16056294678602,4.31747085698006,4.55491818356541,4.83742028241813,4.54695274017633,4.58696277464895,4.8964681926697,4.62105466082514,3.65305032072191,4.67595043619318,5.07531935990072,4.69018542358545,4.4136861317816,4.30403089634533,3.84626382332281,3.45119217549538,6.31300682716842,1.35178087483051,1.35178087483051,3.50475461943129,5.16884589089413,3.05537917930931,5.08235764069794,3.18322287303297,4.10065217858014,3.1763450623499,3.07884956749521,3.81102143872644,3.89797190720795,6.3022439286013,5.56304840997424,5.68691057789971,5.76543979885811,5.98237632391466,5.44581507729972,5.5606351909017,5.53288977199242,6.36831940126573,5.44531072607468,6.43311104269256,5.35396402571005,5.77175236465653,4.79417922242814,3.69660994853736,5.05108757569866,6.77487341531246,5.6468420547419,4.14739433234223,6.35281961160945,6.31997067165304,6.30858501694824,5.95499020768419,6.0236615171141,5.01927575609203,5.66515610331114,5.69555429264812,6.05271812221919,5.48231930801334,4.63509917647231,4.11080434554116,4.81242184190039,4.5052012388566,5.4626277650616,4.75181160038135,1.35178087483051,3.77820767273132,4.40182347589471,5.08746819396307,5.01549353011303,6.39438102087511,4.46936989656406,5.99206213551854,5.82052854940535,5.70215194810907,6.01861890962189
TPST2,2.66891327218619,1.35178087483051,1.35178087483051,2.74584972095347,2.02504457059454,3.39048019466307,2.94354285112677,2.78739516680243,2.69349788494729,1.35178087483051,3.83176421337998,2.67488334199096,2.71175814629056,2.51370861803706,2.16169736681934,1.35178087483051,1.35178087483051,2.35537021917787,4.50578239916078,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,3.18322287303297,4.10065217858014,1.35178087483051,1.35178087483051,3.42797635016976,1.35178087483051,4.27614425115996,4.20153699004968,3.3259912338301,3.66102339870412,3.23467506223457,2.95960725467172,3.89775299112729,3.05383338524593,4.15811377490653,3.23045029910574,4.00835700797493,3.31951007387304,3.9982798227732,3.16221175511892,2.48996606453048,3.12124063508437,4.2047141204444,4.13988274659647,2.90297381969685,4.70542665273608,4.75739474999346,4.76218088127179,4.14977174656817,4.30661479140166,2.80669208847286,3.51647028627496,2.31126969581678,3.59223865236068,3.10185657083576,2.75464080058122,1.35178087483051,2.22667688686806,3.3846966437734,3.7347846552254,2.54263200966246,1.35178087483051,3.30753705020707,2.47744461558676,3.10027365074029,2.9075307145171,4.62473064419399,3.119416541125,4.31884231083222,3.63055898947043,3.62670123925192,3.99063324964076
GNLY,9.56680328285874,10.1298860360381,9.09912762175652,9.58546727536496,10.4256173399118,9.85346495471141,8.02981398250358,9.58936159417646,10.2552034114637,9.83282948765991,9.50398761000622,9.68450964394704,9.6281525890325,9.47786975506103,10.0770686531142,9.41487773686708,8.21439241867031,9.53985967541475,9.49104708685371,9.93054390009881,8.07383506651916,9.6616046309078,6.27555799920557,5.20417007220642,5.89017938785731,7.27921947587276,7.98700550129693,6.03420231997429,7.05143432443095,7.16891669118428,9.61886373510457,10.5384549650342,10.7120706135336,10.4940153833688,10.4503232716599,10.6105691442708,10.317898322595,10.4083796222533,10.0387927414867,10.7661607004299,9.82874653916246,10.8205620491082,9.88056083585009,9.5270939953879,10.1145517010556,9.98068248569912,9.95348988877661,10.5997743065182,10.5265169818514,8.78154975604989,10.818387551531,10.8263976664444,9.45730319066594,9.28898831904567,10.685909093619,10.4647485954991,10.5593306634915,10.4915919105359,9.73182534213307,10.3392711937829,9.66588326417393,9.02879572498888,9.31521681624216,9.59142235692422,10.4343410953427,9.84150705731764,10.1085547646175,9.1629781831257,10.2994360495866,10.1747926045278,10.1548642265996,9.95493569845287,9.50138303156802,9.89282883010603,10.4637930839026,10.8799713752942,10.5057499229907
ABTB1,2.29872772789102,1.35178087483051,2.29945054611396,2.67137292254115,2.49812287006163,2.61959016649154,3.08005560390335,2.38696733261804,2.31697863942993,2.71952613806102,3.20034243615367,2.67488334199096,2.83160495782684,2.86098517707539,2.72110954070016,2.67568968698592,3.45939543601013,1.35178087483051,3.58432663047117,1.35178087483051,1.35178087483051,1.35178087483051,1.35178087483051,3.65197779173224,1.35178087483051,1.35178087483051,1.35178087483051,3.1763450623499,1.35178087483051,2.25940162033257,2.83079552819467,3.39213785627082,3.44290679839751,3.40896048774238,3.48287413446757,3.40051623631017,3.67692169417332,2.89272821775752,3.4575498614991,4.15811377490653,2.81136042120938,3.21503048199989,3.40227964387398,3.59554423794379,3.57000920947843,2.9244553841356,3.21601021151898,3.9533003940991,4.13988274659647,3.46004326930839,3.73134526641787,3.84357839632896,3.22617566787189,3.1850825092589,3.654723148288,2.62420209215417,3.19241629787467,3.36871063189676,3.0976451999673,3.19582041222882,2.51140457791134,3.14577476611229,3.36136820799903,2.84379853139357,3.4643861903521,2.75937472197571,1.35178087483051,2.20048159874263,1.35178087483051,2.99844978130049,3.04154634165867,3.6236103395169,3.119416541125,3.26314642988117,3.66184359576173,3.03517024673439,3.44226169543378
